appref,proposal,appstatus,siteadd,datevalid,decision,decisionNotice
HGY/2025/0037,Certificate of Lawfulness for proposed loft conversion comprising a hip-to-gable and rear dormer extension.,Decision Made,39 Vicarage Road Tottenham London N17 0BB,14/1/2025,Permitted Development,14/1/2025
HGY/2025/0056,"Formal notification in writing of 28 days’ notice in advance, in accordance with Regulation 5 of the Electronic Communications Code (Conditions and Restrictions) Regulations 2003 (as amended).
Description of Development:
The proposed upgrade consists of the removal and replacement of 3no. existing antennas with 3no. new antennas, installing 2no. 300mm dishes; all on existing chimney and ancillary equipment/works thereto.",Decision Made,OCC Chimney 105 Eade Road Tottenham London N4 1TJ,10/1/2025,Permitted Development,10/1/2025
HGY/2025/0018,"T1 - Holly tree - we would like to reduce the tree by about 2-3 metres back to previous points to maintain a balanced shape and bring more light in to the properties and gardens.
T2 - Lime tree - we would like to reduce the tree more significantly than the trees have always be done. I have attached a photo indicating the level we would like to reduce it to. It would be reducing it by about 4-5 metres, to points which can maintain a balanced shape. The aim is to bring more light in to the gardens and all the neighbouring gardens as they restrict a lot of light. Maintaining a good shape would still be the main objective whilst bringing more light for all the neighbours.
T3- Maple tree - we would like to reduce the tree more significantly than the trees have always be done. I have attached a photo indicating the level we would like to reduce it to. It would be reducing it by about 4-5 metres, to points which can maintain a balanced shape. The aim is to bring more light in to the gardens and all the neighbouring gardens as they restrict a lot of light. Maintaining a good shape would still be the main objective whilst bringing more light for all the neighbours.
T4 - Sycamore tree - we would like to reduce the tree more significantly than the trees have always be done. I have attached a photo indicating the level we would like to reduce it to. It would be reducing it by about 4-5 metres, to points which can maintain a balanced shape. The aim is to bring more light in to the gardens and all the neighbouring gardens as they restrict a lot of light. Maintaining a good shape would still be the main objective whilst bringing more light for all the neighbours.
T5 - T9 -Lime trees - we would like to reduce the trees more significantly than the trees have always be done. I have attached a photo indicating the level we would like to reduce it to. It would be reducing it by about 4-5 metres, to points which can maintain a balanced shape. The aim is to bring more light in to the gardens and all the neighbouring gardens as they restrict a lot of light. Maintaining a good shape would still be the main objective whilst bringing more light for all the neighbours.
T9-T16 - Lime trees - we would like to reduce the smaller Lime trees by about 2-3 metres back to previous reduction points to increase light in to the garden.
T17 - Fig tree - we would like to fell the Fig tree which is growing next to the property of number 12 and is causing issues for which a report has been attached.",Decision Made,6 Southwood Lane Hornsey London N6 5EE,06/1/2025,No Objections,20/1/2025
HGY/2025/0010,Approval of details pursuant to Condition 3 (full design details for front elevation) attached to permission HGY/2021/3490,Decision Made,20 Ermine Road Tottenham London N15 6DB,03/1/2025,Approve,09/1/2025
HGY/2025/0007,Certificate of Lawfulness for erection of single-storey rear extensions following the demolition of an existing bay window.,Decision Made,48 Clyde Road Wood Green London N22 7AE,03/1/2025,Permitted Development,10/1/2025
HGY/2024/3570,"Our Client would like to reduce 3x Trees at 77 Highgate Heights. They would like to reduce T1 (Horse chestnut) back to previous points leaving furnishing growth. This is this will be removing around 3m in height, and 1m on the sides. They would also like to reduce in the rear T2 (Sycamore), and T3 (Multi-stem Sycamore) by up to 2.5m in height, and 1m on the sides.",Decision Made,Highgate Heights 77 Shepherds Hill Hornsey London N6 5RF,30/12/2024,No Objections,20/1/2025
HGY/2024/3558,"T1- large Ash tree
T2- large Ash tree
T3- large Ash tree

All three trees to be crown reduction by approximately 1-2 metres, leaving plenty of furnished growth.",Decision Made,Flat A 7 Princes Avenue Hornsey London N10 3LS,27/12/2024,No Objections,20/1/2025
HGY/2024/3524,Use of building as a sui generis HMO consisting of 5 rooms for up to 7 persons at ground and first floor level and a self-contained flat for up to 2 persons at second floor level.,Decision Made,81 Kimberley Gardens Tottenham London N4 1LD,23/12/2024,Refuse,15/1/2025
HGY/2024/3517,"T1- Holly tree- 5m - reduce height and sides by up to 1m.
T2- Bay tree- (6m)- prune back overhanging branches by approximately 1m.
T3- Dead Purple Plum tree (5m)- cut as close to ground level as possible.",Decision Made,44 Southwood Avenue Hornsey London N6 5RZ,20/12/2024,No Objections,10/1/2025
HGY/2024/3506,"TG1 self-set Ash - Remove and cover stumps to prevent regrowth.
(Works to T2 Ash will be considered separately under application reference HGY/2024/3505, as the tree is protected by a TPO)",Decision Made,1 Queens Avenue Hornsey London N10 3PE,19/12/2024,No Objections,10/1/2025
HGY/2024/3502,"Front Garden:
T1: Mature Chinese Privet: Approximately 4.00m. Reduce crown by approximately 1.20m. Trim to tidy and lift over the footpath.
Reason: General maintenance to control encroachment.

Rear Garden:
T2: Mature Ceanothus - (right hand side of the garden):
Approximately 5.00m. Reduce by approximately 1.20m all round.
Reason: General maintenance to manage at reasonable dimensions.

T3 & T4: 2 x Chinese Privets: Approximately 3.00-4.00m. Reduce both by up to 1.00m to shape and tidy.
Reason: General maintenance.

T5: Elder - (growing directly beneath a larger TPO Ash):
Approximately 4.00-5.00m. Fell to ground level.
Reason: To help relieve overcrowding and some nuisance to residents in the block behind.

T6: Ceanothus - (left hand side of the garden):
Approximately 5.00m. Tip prune over extended branches back into main crown structure up to approximately 80cm.
Reason: General maintenance to form amore uniform crown line and help induce lower growth.",Decision Made,Hill House 118 Crouch Hill Hornsey London N8 9DY,19/12/2024,No Objections,10/1/2025
HGY/2024/3500,"Rear Garden:
T1: Oak: Approximately 8.00m:Reduce back to previous and most recent pollard points up to approximately 1.50m. General maintenance.",Decision Made,43 Claremont Road Hornsey London N6 5DA,19/12/2024,No Objections,10/1/2025
HGY/2024/3495,Roof extension,Decision Made,42 Etherley Road Tottenham London N15 3AJ,19/12/2024,Permitted Development,09/1/2025
HGY/2024/3482,"T1) Eucalyptus near pool: Reduce overall crown by up to 2.5 metre branch lengths; remove any dead and defective branchwood; This tree has a leggy and disproportionate form.

T2) Dead mature Birch: Remove to ground level; this tree has died, Signs of bleeding canker in the base",Decision Made,High Point 1 North Hill Hornsey London N6 4BA,18/12/2024,No Objections,09/1/2025
HGY/2024/3461,"Submission of details to discharge Condition 29 (Updated Air Quality Assessment) for Phase 1 (Moselle) only as attached to the planning permission HGY/2022/0823, as approved on 07/03/2023 for:

Demolition of the existing buildings and structures and erection of new mixed-use buildings including residential (Use Class C3), commercial, business and service (Class E) and local community and learning (Class F) floorspace; energy centre (sui generis); together with landscaped public realm and amenity spaces; public realm and highways works; car-parking; cycle parking; refuse and recycling facilities; and other associated works. Site comprising: Tangmere and Northolt Blocks (including Stapleford North Wing): Energy Centre; Medical Centre: Enterprise Centre: and former Moselle school site, at Broadwater Farm Estate.

This application relates to Phase 1 (Moselle) of this development, only.",Decision Made,Broadwater Farm Estate London N17,17/12/2024,Approve,17/1/2025
HGY/2024/3478,"G1 3 Lime trees, reduce vertical and lateral growth by 2-3 M approx to clear from flats
T2 Sycamore, In car park area, reduce by 2-3 M approx back to previous pruning points
S3 Viburnum , shrub, trim and tidy
T4vLime, reduce by 2-3 M approx back to previous pruning points
T4 Sycamore, situated at close proximity to building, reduce by 2-3 M back to most recent previous pruning points, leaving no furnishings
S6 Lilac Reduce by 2 M and shape as necessary
G7 4 Sycamores, Mature trees reduce by 2-3 M approx back to previous pruning points",Decision Made,Alford House Stanhope Road Hornsey London N6 5AL,17/12/2024,No Objections,09/1/2025
HGY/2024/3477,"weeping birch tree in front garden. we have previously had this pruned / canopy thinned on a 3-4 year cycle. the tree would benefit from slightly more work this time around due to the growth of the canopy.

- reduce width of tree canopy (by approx 1 to 2 metres) where it overhangs public footpath and neighbours garden
- reduce width of rest of canopy to ensure the shape of the tree remains balanced

- lift canopy such that weeping branches are well above head height
- thin canopy by 25-33%
- remove crossing / damaged branches

taken together we anticipate removal / pruning back of approximately 20% of the thicker branches in the canopy (these are approximately bicep thickness); previously we have only removed / pruned branches that were approximately thumb thickness",Decision Made,72 Mount View Road Hornsey London N4 4JR,17/12/2024,No Objections,09/1/2025
HGY/2024/3468,Certificate of Lawfulness for proposed rear dormer & outrigger extensions to facilitate loft conversion,Decision Made,75 Roseberry Gardens Tottenham London N4 1JH,17/12/2024,Permitted Development,09/1/2025
HGY/2024/3451,Non-Material Amendment to approved application HGY/2024/2591 to increase width of garden room by 1m.,Decision Made,87 Gospatrick Road Tottenham London N17 7JD,16/12/2024,Approve,13/1/2025
HGY/2024/3476,"T1 Sycamore - crown reduction by approximately one third on all aspects of the tree, back to most recent pruning points",Decision Made,Ground Floor Flat 51 Lorne Road Hornsey London N4 3RU,16/12/2024,No Objections,09/1/2025
HGY/2024/3455,2 Mature Sycamore trees at rear of property: Reduce overall crown by up to 3.5 metres within previous reduction framework. These trees have been routinely managed to this specification due to close proximity to several buildings.,Decision Made,26 Elder Avenue Hornsey London N8 8PS,16/12/2024,No Objections,09/1/2025
HGY/2024/3445,Non-Material Amendment to approved application HGY/2021/2677 to change a side facing window to a sliding door.,Decision Made,26 Richmond Road Wood Green London N11 2QR,16/12/2024,Approve,13/1/2025
HGY/2024/3280,"Non Material Amendment to development approved under planning permission reference HGY/2024/0889, proposing alterations to the skylights and rear openings in the approved scheme.",Decision Made,20 Stapleton Hall Road Hornsey London N4 3QD,13/12/2024,Approve,14/1/2025
HGY/2024/3135,Approval of details pursuant to conditions 3 (Brickwork) attached to planning permission ref: HGY/2024/1487.,Decision Made,11 Grove Avenue Hornsey London N10 2AS,11/12/2024,Approve,07/1/2025
HGY/2024/3381,Replacement of existing static double sided advert with internally illuminated double sided sequential advertisement in bus shelter.,Decision Made,Bus Shelter o/s 264 High Road London N15 4AJ,10/12/2024,Approve with Conditions,20/1/2025
HGY/2024/3382,Replacement of existing static double-sided advert with internally illuminated double-sided sequential advertisement in bus shelter.,Decision Made,Bus Shelter o/s 70 Grand Parade Green Lanes London N4 1DU,10/12/2024,Approve with Conditions,20/1/2025
HGY/2024/3353,"4 x Lime - Crown reduce the height and spread back to previous reduction points (approx. 4m height and 2m spread)

Sycamore - Crown reduce the height by 2.0 - 2.5m respectively
Crown reduce the spread by 1.5m to to balance and shape leaving a even flowing canopy outline

Maintenance works in line with good arboricultural practice",Decision Made,1 Cranmore Way Hornsey London N10 3TP,09/12/2024,No Objections,09/1/2025
HGY/2024/3348,Certificate of Lawfulness for proposed rear dormer to facilitate loft conversion and associated rooflights,Decision Made,173 Higham Road Tottenham London N17 6NX,09/12/2024,Permitted Development,09/1/2025
HGY/2024/3324,"Non-Material Amendment following a grant of planning permission HGY/2024/2314 in relation to the title of the permission (administrative error) changing from Laundrette (Sui generis) to Class E (dry cleaners). Non material amendment will amend the development description as follows:

Change of use from Dry cleaners (Class E) to Class C residential for part of the ground floor to the rear; demolition of existing rear ground floor structure; erection of new extensions to the rear of the ground and first floor and at third floor (roof) level, and alterations to the internal layout to provide three residential units and a reduced commercial unit.",Decision Made,537 Green Lanes Hornsey London N8 0RL,06/12/2024,Approve,13/1/2025
HGY/2024/3338,"Elm - Reduce spread back to curb (approx. 1m)
Maintenance works in line with good arboricultural practice

Ash saplings x 2 - Cut to ground level
See picture

Yew - Reduce spread overhanging car space back to wooden sleeper (approx. 1.8m)
Maintenance works in line with good arboricultural practice",Decision Made,Rookfield Estate land - Various locations,06/12/2024,No Objections,09/1/2025
HGY/2024/3334,"Non-Material Amendment to previously approved applications HGY/2024/1335 and HGY/2024/1336, to replace ground floor finish from render and timber to brick; add projecting window surround to ground floor rear window; enlarge cycle storage, to include heat pump enclosure; move heat pump to enclosure; change front garden wall finish to match cycle storage; enlarge front ground floor window; add projecting dormer surround; add glass roof over front entrance; repair and insulate front porch roof, install parapet; change dormer finish from timber to metal; window panel layout amended.",Decision Made,40 Lynmouth Road Hornsey London N2 9LS,06/12/2024,Refuse,03/1/2025
HGY/2024/3328,Erection of roof extension above rear outrigger roof.,Decision Made,81 Gladesmore Road Tottenham London N15 6TL,06/12/2024,Permitted Development,09/1/2025
HGY/2024/3326,"T1 Prunus, reduce lateral branches by 1-2 M approx to clear the house and thin by 15% to allow more light penetration.
G2 2 Apple Trees, clip in new growth and clear through",Decision Made,93 Muswell Hill Road Hornsey London N10 3HT,06/12/2024,No Objections,09/1/2025
HGY/2024/3310,Certificate of Lawfulness for proposed single storey rear extension and alterations to existing garage to facilitate conversion to habitable space including installation of window to the front elevation and 2 x rooflights.,Decision Made,10 Willowdene 18 View Road Hornsey London N6 4DE,05/12/2024,Permitted Development,09/1/2025
HGY/2024/3317,Certificate of lawfulness for proposed use: Loft conversion with erection of rear dormer roof extension and insertion of 2no. rooflights on front roof slopes and 2no. rooflights on front pinnacle. (AMENDED DESCRIPTION),Decision Made,38 Boundary Road Tottenham London N22 6AD,05/12/2024,Permitted Development,15/1/2025
HGY/2024/3305,"Approval of details pursuant to conditions 10 (DMP and CLMP) and 11 (Appointment of Engineer) attached to planning permission ref. HGY/2024/0806 for Demolition and erection of replacement larger dwelling with basement, swimming pool and associated plant equipment to rear garden, and all ancillary works including landscaping, boundary treatments and access granted on 15 November 2024.",Decision Made,41 Sheldon Avenue Hornsey London N6 4JP,04/12/2024,Approve,08/1/2025
HGY/2024/3303,"Erection of part single, part two-storey rear extension to both properties.",Decision Made,85-87 Wargrave Avenue London N15 6TU,04/12/2024,Approve with Conditions,09/1/2025
HGY/2024/3054,"Non-material amendment to planning application ref: HGY/2024/1081 to alter rooflights of rear extension, reposition of rear window and removal of a side elevation door.",Decision Made,65 Onslow Gardens Hornsey London N10 3JY,04/12/2024,Approve,13/1/2025
HGY/2024/3036,Non-material amendment to planning application ref: HGY/2024/1585 to reposition the replacement window on the rear elevation and addition of a side window.,Decision Made,65 Onslow Gardens Hornsey London N10 3JY,04/12/2024,Approve,13/1/2025
HGY/2024/3300,Erection of single storey wrap-around rear extension,Decision Made,37 Falkland Road Hornsey London N8 0NS,03/12/2024,Approve with Conditions,17/1/2025
HGY/2024/3274,"Erection of single storey extension which extends beyond the rear wall of the original house by 6m, for which the maximum height would be 3.5m and for which the height of the eaves would be 3m",Decision Made,14 Ermine Road Tottenham London N15 6DB,29/11/2024,Not Required,10/1/2025
HGY/2024/3271,Erection of single storey side-to-rear wrap-around extension.,Decision Made,169 Hornsey Park Road Wood Green London N8 0JX,29/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3255,Loft dormer extension to rear main roof and rear outrigger roof to include 3no. front facing conservation style roof windows. Removal of existing glass roof to ground floor infill extension and replacement with solid tiled roof with 3no. roof windows.,Decision Made,9 Grasmere Road Hornsey London N10 2DH,28/11/2024,Approve with Conditions,14/1/2025
HGY/2024/3249,"Erection of wrap around single storey garden extension, including removal of existing extension.",Decision Made,46 Dongola Road Tottenham London N17 6EE,27/11/2024,Approve with Conditions,16/1/2025
HGY/2024/3253,Replacement of current timber windows with new UPVC windows,Decision Made,130 Effingham Road Hornsey London N8 0AD,27/11/2024,Approve with Conditions,17/1/2025
HGY/2024/3196,"Approval of details reserved by a condition 4 (Details of Front Boundary Wall, Enclosures, Screening of Recycling Containers and Wheeled Refuse Bins/ Containers ) attached to planning permission HGY/2023/2578 for the Change of Use from C3 to C4 (6 Person HMO).",Decision Made,324 Philip Lane Tottenham London N15 4AB,26/11/2024,Approve,14/1/2025
HGY/2024/3243,"Single storey rear extension, garage conversion to create a habitable space, first floor side extension, front porch with a new front door, and alterations to the fenestration.",Decision Made,15 Downhills Avenue Tottenham London N17 6LG,26/11/2024,Approve with Conditions,17/1/2025
HGY/2024/3210,"Erection of single storey extension which extends beyond the rear wall of the original house by 6m, for which the maximum height would be 3.2m and for which the height of the eaves would be 2.74m",Decision Made,71 Coppetts Road Hornsey London N10 1JH,25/11/2024,Approve,06/1/2025
HGY/2024/3212,Excavation of existing basement extension.,Decision Made,11 Womersley Road Hornsey London N8 9AE,25/11/2024,Approve with Conditions,20/1/2025
HGY/2024/2838,"Application to determine if prior approval is required for a proposed: Change of use from Commercial, Business and Service (Use Class E) to Dwellinghouses (Use Class C3)
Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 3, Class MA",Decision Made,Outbuilding R/O 62 Willoughby Lane Tottenham London N17 0SS,25/11/2024,Refuse,20/1/2025
HGY/2024/3192,"1x holly tree (T1 on sketch plan): full removal of tree, 2x birch trees (T2 & T3 on sketch plan): full removal of trees
Reason for removal of all three trees is to make way for a potential outbuilding at rear of garden",Decision Made,19 Southern Road Hornsey London N2 9LH,22/11/2024,No Objections,09/1/2025
HGY/2024/2977,Certificate of Lawfulness: Existing use as 3no. self-contained flats.,Decision Made,5 The Drive Wood Green London N11 2DY,22/11/2024,Refuse,17/1/2025
HGY/2024/3208,Single-storey rear extension,Decision Made,42 Rosebery Road Hornsey London N10 2LJ,22/11/2024,Approve with Conditions,14/1/2025
HGY/2024/3189,Erection of single storey side infill rear extension (retrospective).,Decision Made,26 Richmond Road Wood Green London N11 2QR,22/11/2024,Refuse,17/1/2025
HGY/2024/3180,"Rear roof extension with solar panels, front roof lights, replacement rear door and all associated works",Decision Made,Flat A 8 Rathcoole Avenue Hornsey London N8 9NA,21/11/2024,Approve with Conditions,15/1/2025
HGY/2024/3186,Proposed conversion of existing dwelling house (Use Class C3) into a small-scale House of Multiple Occupation (HMO) for up to 6 residents (Use Class C4).,Decision Made,146 Harringay Road Tottenham London N15 3HL,21/11/2024,Refuse,16/1/2025
HGY/2024/3182,Internal alteration to create additional room,Decision Made,24 Ingleton Road Tottenham London N18 2RU,21/11/2024,Approve with Conditions,16/1/2025
HGY/2024/3236,"Demolition of all existing buildings and structures and erection of new flexible industrial/logistics units falling within Use Classes E(g)(ii)/(iii), B2 and/or B8 (with ancillary office accommodation) and all associated works, including access arrangements, a new internal road network, parking/servicing, and hard and soft landscaping (Observations to L.B. Enfield - their planning reference 24/03805/FUL)",Decision Made,Claverings Industrial Estate London N9 0AB,21/11/2024,No Objection,16/1/2025
HGY/2024/3187,"T1) Holly growing through fence: low amenity value; in shade of bigger Holly: Remove to ground level.

T2) Eucalyptus by fence: small leggy tree with poor form: Remove to ground level.

T3 & T4) 2 x Mimosa: Reduce overall crown by up to 2 metres; provide tidy and uniform shape.",Decision Made,16 Highgate Avenue Hornsey London N6 5SB,21/11/2024,No Objections,07/1/2025
HGY/2024/3176,Approval of details reserved by a condition 10d (Verification) attached to planning reference HGY/2022/0044.,Decision Made,Florentia Clothing Village 108 Vale Road Haringey N4 1TD,20/11/2024,Approve,14/1/2025
HGY/2024/3097,"Erection of full-width ground floor rear extensions and erection of a type 3 additional floors extension across nos. 79 & 81 Gladesmore Road, N15",Decision Made,79 & 81 Gladesmore Road Tottenham London N15 6TL,20/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3177,"Erection of half-width first floor rear extension across the two properties, 27 & 29 Craven Park Road",Decision Made,27-29 Craven Park Road Tottenham London N15 6AA,20/11/2024,Approve with Conditions,15/1/2025
HGY/2024/3171,"Certificate of lawfulness for proposed single storey rear extension, single storey rear infill extension, rear dormer extension and two front rooflights.",Decision Made,21 Antill Road Tottenham London N15 4AS,19/11/2024,Permitted Development,14/1/2025
HGY/2024/3172,Erection of ground floor wrap-around extension.,Decision Made,21 Antill Road Tottenham London N15 4AS,19/11/2024,Approve with Conditions,09/1/2025
